nom,specialite,niveau,statut,dernier diplome obtenu,note median,correcteur median,note final,correcteur final,note totale,resultat
Etu1,GI,4,UTC,BAC,6.5,Cor6,5,Cor4,5.6,F
Etu2,GB,2,UTC,DUT,6.5,Cor6,13,Cor4,10.4,E
Etu3,GSU,4,UTC,BAC,14.0,Cor2,17,Cor3,15.8,B
Etu4,GSM,2,UTC,BAC,13.0,Cor2,13.5,Cor3,13.3,C
Etu5,GI,4,UTC,DUT,7.5,Cor2,11.5,Cor3,9.9,Fx
Etu6,GM,4,UTC,DUT,8.5,Cor4,10.5,Cor5,9.7,Fx
Etu7,GB,2,UTC,DUT,13,Cor7,16.5,Cor6,15.1,B
Etu8,GI,2,UTC,AUTRE 1ER CYCLE,7.5,Cor7,16,Cor6,12.6,D
Etu9,GSU,4,UTC,BAC,12.5,Cor7,17,Cor6,15.2,B
Etu10,GB,1,UTC,BAC,13.5,Cor5,16.5,Cor7,15.3,B
Etu11,GSU,2,UTC,CPGE,17.5,Cor8,19,Cor5,18.4,A
Etu12,GM,4,UTC,DUT,10.5,Cor5,9,Cor7,9.6,Fx
Etu13,GM,2,UTC,DUT,9,Cor4,4.5,Cor5,6.3,F
Etu14,TC,4,UTC,BAC,16.5,Cor2,11.5,Cor3,13.5,C
Etu15,GB,2,UTC,BTS,7,Cor5,,,,ABS
Etu16,GI,3,UTC,BAC,11.0,Cor1,9.0,Cor1,9.8,Fx
Etu17,GB,4,UTC,BAC,12.5,Cor7,18,Cor6,15.8,B
Etu18,GB,1,UTC,BAC,9.5,Cor2,10,Cor3,9.8,Fx
Etu19,GI,1,UTC,BAC,9.5,Cor7,15,Cor6,12.8,D
Etu20,GI,2,UTC,DUT,10.5,Cor6,4.5,Cor4,6.9,F
Etu21,GP,2,UTC,CPGE,11,Cor8,13,Cor5,12.2,D
Etu22,GB,2,UTC,CPGE,12.5,Cor8,11.5,Cor5,11.9,D
Etu23,GSM,2,UTC,CPGE,8.5,Cor7,18,Cor6,14.2,C
Etu24,GSM,2,UTC,DUT,10,Cor5,12,Cor7,11.2,E
Etu25,GI,1,UTC,BAC,20,Cor5,9.5,Cor7,13.7,C
Etu26,GSU,4,UTC,BTS,15,Cor5,15.5,Cor7,15.3,B
Etu27,GI,5,Echange,,1.5,Cor1,2.0,Cor1,1.8,F
Etu28,GB,2,UTC,BAC,8.0,Cor2,16,Cor3,12.8,D
Etu29,GSM,2,UTC,DUT,14.5,Cor8,5.5,Cor5,9.1,F
Etu30,GI,2,UTC,BAC,12,Cor6,12.5,Cor4,12.3,D
Etu31,GSU,1,UTC,BAC,16,Cor7,14.5,Cor8,15.1,B
Etu32,GM,2,UTC,DUT,12.5,Cor4,13,Cor5,12.8,D
Etu33,GB,4,UTC,DUT,9,Cor4,15.5,Cor6,12.9,D
Etu34,GB,2,UTC,CPGE,8.5,Cor1,9.5,Cor1,9.1,Fx
Etu35,GM,2,UTC,BAC,12.5,Cor6,16.5,Cor7,14.9,C
Etu36,GM,6,UTC,DUT,6.0,Cor2,12,Cor3,9.6,Fx
Etu37,GM,1,UTC,ETRANGER SUPERIEUR,18.0,Cor2,16.5,Cor3,17.1,A
Etu38,GI,4,UTC,BAC,8.5,Cor7,14.5,Cor8,12.1,D
Etu39,GSU,1,UTC,DUT,12,Cor7,17.5,Cor6,15.3,B
Etu40,GM,4,UTC,DUT,1.5,Cor5,,,,ABS
Etu41,GM,2,UTC,CPGE,17,Cor8,,,,ABS
Etu42,GP,2,UTC,BAC,10.5,Cor4,15,Cor6,13.2,C
Etu43,GI,1,UTC,BAC,10.5,Cor7,11.5,Cor6,11.1,E
Etu44,GSM,2,UTC,DUT,9.5,Cor1,10.0,Cor1,9.8,Fx
Etu45,GSM,4,UTC,DUT,14,Cor5,10,Cor7,11.6,D
Etu46,GSM,1,UTC,BAC,15,Cor7,15,Cor8,15,B
Etu47,GP,3,UTC,BAC,5.5,Cor7,18,Cor6,13,C
Etu48,GI,4,UTC,DUT,6.5,Cor6,15.5,Cor4,11.9,D
Etu49,GSM,4,UTC,AUTRE 1ER CYCLE,8,Cor6,12.5,Cor4,10.7,E
Etu50,GI,1,UTC,BAC,8.5,Cor4,14.5,Cor6,12.1,D
Etu51,GM,4,UTC,ETRANGER SUPERIEUR,13.5,Cor7,4.5,Cor6,8.1,F
Etu52,GM,4,UTC,CPGE,16.5,Cor6,19.5,Cor4,18.3,A
Etu53,GI,1,UTC,BAC,12.5,Cor2,18.5,Cor3,16.1,B
Etu54,GB,1,UTC,BAC,15.5,Cor5,17.5,Cor7,16.7,A
